"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect"
0.0000,0.9883,0.0000,0.8730,0.0000,0.0000
0.0000,0.9654,0.0000,0.8360,0.0000,0.0000
0.0000,0.0000,0.9945,0.9160,0.0000,0.0000
0.0000,0.0000,1.0000,0.9061,0.0000,0.0000
0.0000,0.0000,0.9982,0.8519,0.0000,0.0000
0.0000,0.0000,0.9669,0.8073,0.0000,0.0000
0.0000,0.0000,0.9282,0.7520,0.0000,0.0000
0.0000,0.0000,0.9061,0.7182,0.0000,0.0000
0.0000,0.0000,0.8540,0.6764,0.0000,0.0000
0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.9118,0.0000,0.0000
0.0000,0.0000,0.0000,0.8515,0.0000,0.0000
0.0000,0.0000,0.0000,0.7444,0.0000,0.0000
0.0000,0.0000,0.0000,0.6814,0.0000,0.0000
0.0000,0.0000,0.0000,0.6447,0.0000,0.0000
0.0000,0.0000,0.0000,0.6236,0.0000,0.0000
0.0000,0.0000,0.0000,0.5477,0.0000,0.0000
0.0000,0.0000,0.0000,0.9096,0.9376,0.0000
0.0000,0.0000,0.0000,0.8033,0.7618,0.0000
0.0000,0.0000,0.0000,0.7432,0.7471,0.0000
0.0000,0.0000,0.0000,0.6760,0.6940,0.0000
0.0000,0.0000,0.0000,0.6230,0.6376,0.0000
0.0000,0.0000,0.0000,0.5788,0.6044,0.0000
0.0000,0.0000,0.0000,0.5163,0.5380,0.0000
0.0000,0.0000,0.0000,0.9068,0.0000,0.9635
0.0000,0.0000,0.0000,0.8229,0.0000,0.9178
0.0000,0.0000,0.0000,0.7639,0.0000,0.8874
0.0000,0.0000,0.0000,0.6947,0.0000,0.8253
0.0000,0.0000,0.0000,0.6736,0.0000,0.7872
0.0000,0.0000,0.0000,0.6393,0.0000,0.7580
0.0000,0.0000,0.0000,0.5924,0.0000,0.7084
0.9690,0.0000,0.0000,0.0000,0.8431,0.0000
0.8605,0.0000,0.0000,0.0000,0.7478,0.0000
0.7907,0.0000,0.0000,0.0000,0.6621,0.0000
0.7326,0.0000,0.0000,0.0000,0.6449,0.0000
0.7318,0.0000,0.0000,0.0000,0.6990,0.0000
0.6680,0.0000,0.0000,0.0000,0.5853,0.0000
0.5925,0.0000,0.0000,0.0000,0.5536,0.0000
0.0000,0.9844,0.0000,0.0000,0.9476,0.0000
0.0000,0.9766,0.0000,0.0000,0.9115,0.0000
0.0000,0.9740,0.0000,0.0000,0.8331,0.0000
0.0000,0.9883,0.0000,0.0000,0.8443,0.0000
0.0000,0.9891,0.0000,0.0000,0.8323,0.0000
0.0000,0.9766,0.0000,0.0000,0.8315,0.0000
0.0000,0.9669,0.0000,0.0000,0.8303,0.0000
0.0000,0.0000,0.9834,0.0000,0.8779,0.0000
0.0000,0.0000,1.0055,0.0000,0.8647,0.0000
0.0000,0.0000,0.9871,0.0000,0.8066,0.0000
0.0000,0.0000,0.9655,0.0000,0.7590,0.0000
0.0000,0.0000,0.9105,0.0000,0.6930,0.0000
0.0000,0.0000,0.8969,0.0000,0.6809,0.0000
0.0000,0.0000,0.8745,0.0000,0.6669,0.0000
0.0000,0.0000,0.0000,0.9096,0.9376,0.0000
0.0000,0.0000,0.0000,0.7647,0.8387,0.0000
0.0000,0.0000,0.0000,0.7354,0.7594,0.0000
0.0000,0.0000,0.0000,0.7218,0.7370,0.0000
0.0000,0.0000,0.0000,0.6636,0.6477,0.0000
0.0000,0.0000,0.0000,0.6182,0.6145,0.0000
0.0000,0.0000,0.0000,0.5875,0.5144,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.8663,0.0000
0.0000,0.0000,0.0000,0.0000,0.8493,0.0000
0.0000,0.0000,0.0000,0.0000,0.7252,0.0000
0.0000,0.0000,0.0000,0.0000,0.6968,0.0000
0.0000,0.0000,0.0000,0.0000,0.6380,0.0000
0.0000,0.0000,0.0000,0.0000,0.5909,0.0000
0.0000,0.0000,0.0000,0.0000,0.5061,0.0000
0.0000,0.0000,0.0000,0.0000,0.8579,0.9543
0.0000,0.0000,0.0000,0.0000,0.7862,0.9201
0.0000,0.0000,0.0000,0.0000,0.7726,0.8980
0.0000,0.0000,0.0000,0.0000,0.6661,0.8128
0.0000,0.0000,0.0000,0.0000,0.6437,0.7954
0.0000,0.0000,0.0000,0.0000,0.6085,0.7549
0.0000,0.0000,0.0000,0.0000,0.5528,0.7065
0.9535,0.0000,0.0000,0.0000,0.0000,0.9452
0.8798,0.0000,0.0000,0.0000,0.0000,0.9041
0.8088,0.0000,0.0000,0.0000,0.0000,0.8584
0.7461,0.0000,0.0000,0.0000,0.0000,0.8493
0.7039,0.0000,0.0000,0.0000,0.0000,0.7580
0.6783,0.0000,0.0000,0.0000,0.0000,0.7215
0.6622,0.0000,0.0000,0.0000,0.0000,0.7078
0.0000,0.9922,0.0000,0.0000,0.0000,1.0457
0.0000,0.9844,0.0000,0.0000,0.0000,0.9589
0.0000,1.0052,0.0000,0.0000,0.0000,1.0502
0.0000,0.9707,0.0000,0.0000,0.0000,0.9635
0.0000,0.9661,0.0000,0.0000,0.0000,0.9269
0.0000,0.9766,0.0000,0.0000,0.0000,0.9589
0.0000,0.9676,0.0000,0.0000,0.0000,0.9680
0.0000,0.0000,0.9890,0.0000,0.0000,0.9680
0.0000,0.0000,0.9890,0.0000,0.0000,0.9635
0.0000,0.0000,0.9650,0.0000,0.0000,0.9178
0.0000,0.0000,0.9751,0.0000,0.0000,0.9224
0.0000,0.0000,0.9171,0.0000,0.0000,0.8584
0.0000,0.0000,0.9024,0.0000,0.0000,0.8447
0.0000,0.0000,0.8461,0.0000,0.0000,0.7854
0.0000,0.0000,0.0000,0.9068,0.0000,0.9635
0.0000,0.0000,0.0000,0.8340,0.0000,0.9315
0.0000,0.0000,0.0000,0.7568,0.0000,0.8630
0.0000,0.0000,0.0000,0.7000,0.0000,0.8219
0.0000,0.0000,0.0000,0.6638,0.0000,0.7991
0.0000,0.0000,0.0000,0.6211,0.0000,0.7489
0.0000,0.0000,0.0000,0.5517,0.0000,0.6347
0.0000,0.0000,0.0000,0.0000,0.8579,0.9543
0.0000,0.0000,0.0000,0.0000,0.7774,0.8813
0.0000,0.0000,0.0000,0.0000,0.7026,0.8447
0.0000,0.0000,0.0000,0.0000,0.6846,0.8493
0.0000,0.0000,0.0000,0.0000,0.6430,0.7945
0.0000,0.0000,0.0000,0.0000,0.6111,0.7443
0.0000,0.0000,0.0000,0.0000,0.5503,0.6575
0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.9635
0.0000,0.0000,0.0000,0.0000,0.0000,0.9452
0.0000,0.0000,0.0000,0.0000,0.0000,0.8961
0.0000,0.0000,0.0000,0.0000,0.0000,0.8457
0.0000,0.0000,0.0000,0.0000,0.0000,0.7953
0.0000,0.0000,0.0000,0.0000,0.0000,0.7352
0.0000,0.0000,0.0000,0.0000,0.0000,0.7015
