"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm","Total-Throughput"
0,0,1,0,0,0,0,6,0,6.9069
0,0,1,0,0,0,0,7,0,7.7792
0,0,1,0,0,0,0,0,1,2.0577
0,0,1,0,0,0,0,0,2,3.3036
0,0,1,0,0,0,0,0,3,3.3635
0,0,1,0,0,0,0,0,4,5.3632
0,0,1,0,0,0,0,0,5,5.8353
0,0,1,0,0,0,0,0,6,6.4497
0,0,1,0,0,0,0,0,7,7.6308
1,0,0,1,0,0,0,0,0,1.6840
2,0,0,1,0,0,0,0,0,2.9719
3,0,0,1,0,0,0,0,0,3.5758
4,0,0,1,0,0,0,0,0,4.1228
5,0,0,1,0,0,0,0,0,4.6271
6,0,0,1,0,0,0,0,0,5.3366
7,0,0,1,0,0,0,0,0,5.7114
0,1,0,1,0,0,0,0,0,2.0728
0,2,0,1,0,0,0,0,0,2.9472
0,3,0,1,0,0,0,0,0,3.5372
0,4,0,1,0,0,0,0,0,3.9921
0,5,0,1,0,0,0,0,0,4.5965
0,6,0,1,0,0,0,0,0,5.1605
0,7,0,1,0,0,0,0,0,5.7660
0,0,1,1,0,0,0,0,0,1.9778
0,0,2,1,0,0,0,0,0,3.0320
0,0,3,1,0,0,0,0,0,3.8864
0,0,4,1,0,0,0,0,0,4.8042
0,0,5,1,0,0,0,0,0,5.8011
0,0,6,1,0,0,0,0,0,6.2908
0,0,7,1,0,0,0,0,0,7.8791
0,0,0,1,0,0,0,0,0,1.0000
0,0,0,2,0,0,0,0,0,1.5839
0,0,0,3,0,0,0,0,0,0.7651
0,0,0,4,0,0,0,0,0,0.6577
0,0,0,5,0,0,0,0,0,4.5772
0,0,0,6,0,0,0,0,0,4.3893
0,0,0,7,0,0,0,0,0,1.1410
0,0,0,8,0,0,0,0,0,3.3490
0,0,0,1,1,0,0,0,0,1.8859
0,0,0,1,2,0,0,0,0,2.5369
0,0,0,1,3,0,0,0,0,3.8389
0,0,0,1,4,0,0,0,0,4.7315
0,0,0,1,5,0,0,0,0,5.7248
0,0,0,1,6,0,0,0,0,6.5533
0,0,0,1,7,0,0,0,0,7.4364
0,0,0,1,0,1,0,0,0,1.9523
0,0,0,1,0,2,0,0,0,2.8620
0,0,0,1,0,3,0,0,0,3.5136
0,0,0,1,0,4,0,0,0,4.1149
0,0,0,1,0,5,0,0,0,4.1700
0,0,0,1,0,6,0,0,0,4.4987
