"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","ISR"
0.8876,0.0000,0.0000,0.0000,0.0000,0.8798,0.0000
0.8243,0.0000,0.0000,0.0000,0.0000,0.8283,0.0000
0.7461,0.0000,0.0000,0.0000,0.0000,0.7854,0.0000
0.7147,0.0000,0.0000,0.0000,0.0000,0.7511,0.0000
0.6718,0.0000,0.0000,0.0000,0.0000,0.6781,0.0000
0.6600,0.0000,0.0000,0.0000,0.0000,0.6137,0.0000
0.0000,0.9967,0.0000,0.0000,0.0000,0.9742,0.0000
0.0000,0.9884,0.0000,0.0000,0.0000,0.8970,0.0000
0.0000,0.9723,0.0000,0.0000,0.0000,0.9270,0.0000
0.0000,0.9377,0.0000,0.0000,0.0000,0.8541,0.0000
0.0000,0.8849,0.0000,0.0000,0.0000,0.8541,0.0000
0.0000,0.9740,0.0000,0.0000,0.0000,0.8240,0.0000
0.0000,0.8386,0.0000,0.0000,0.0000,0.7339,0.0000
0.0000,0.0000,0.9730,0.0000,0.0000,0.9270,0.0000
0.0000,0.0000,0.9568,0.0000,0.0000,0.8712,0.0000
0.0000,0.0000,0.8811,0.0000,0.0000,1.0000,0.0000
0.0000,0.0000,0.8432,0.0000,0.0000,0.9828,0.0000
0.0000,0.0000,0.7686,0.0000,0.0000,0.9227,0.0000
0.0000,0.0000,0.8000,0.0000,0.0000,0.9571,0.0000
0.0000,0.0000,0.7212,0.0000,0.0000,0.8884,0.0000
0.0000,0.0000,0.0000,0.8870,0.0000,0.9142,0.0000
0.0000,0.0000,0.0000,0.8022,0.0000,0.8498,0.0000
0.0000,0.0000,0.0000,0.7454,0.0000,0.8197,0.0000
0.0000,0.0000,0.0000,0.7452,0.0000,0.8069,0.0000
0.0000,0.0000,0.0000,0.6196,0.0000,0.6996,0.0000
0.0000,0.0000,0.0000,0.6779,0.0000,0.6953,0.0000
0.0000,0.0000,0.0000,0.5332,0.0000,0.6180,0.0000
0.0000,0.0000,0.0000,0.0000,0.8708,0.9185,0.0000
0.0000,0.0000,0.0000,0.0000,0.7773,0.8412,0.0000
0.0000,0.0000,0.0000,0.0000,0.8027,0.8584,0.0000
0.0000,0.0000,0.0000,0.0000,0.6837,0.7725,0.0000
0.0000,0.0000,0.0000,0.0000,0.6215,0.6352,0.0000
0.0000,0.0000,0.0000,0.0000,0.5909,0.6867,0.0000
0.0000,0.0000,0.0000,0.0000,0.5473,0.6137,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.9142,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.8884,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.8519,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7966,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7346,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7032,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.6626,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.9227,0.9630
0.0000,0.0000,0.0000,0.0000,0.0000,0.9056,1.0741
0.0000,0.0000,0.0000,0.0000,0.0000,0.8584,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.8369,1.0648
0.0000,0.0000,0.0000,0.0000,0.0000,0.7382,0.9630
0.0000,0.0000,0.0000,0.0000,0.0000,0.6953,0.9815
0.0000,0.0000,0.0000,0.0000,0.0000,0.6223,0.9630
0.9147,0.0000,0.0000,0.0000,0.0000,0.0000,1.4074
0.8682,0.0000,0.0000,0.0000,0.0000,0.0000,1.4444
0.8269,0.0000,0.0000,0.0000,0.0000,0.0000,1.5556
0.7616,0.0000,0.0000,0.0000,0.0000,0.0000,1.4815
0.7070,0.0000,0.0000,0.0000,0.0000,0.0000,1.4815
0.6525,0.0000,0.0000,0.0000,0.0000,0.0000,1.4074
0.6168,0.0000,0.0000,0.0000,0.0000,0.0000,1.4815
0.0000,1.0598,0.0000,0.0000,0.0000,0.0000,1.0741
0.0000,0.9585,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.9679,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.9159,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.9070,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.9341,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.8358,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.9351,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.9243,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.8685,0.0000,0.0000,0.0000,1.0370
0.0000,0.0000,0.8905,0.0000,0.0000,0.0000,1.1111
0.0000,0.0000,0.7578,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,1.0370
0.0000,0.0000,0.7320,0.0000,0.0000,0.0000,1.0370
0.0000,0.0000,0.0000,0.8877,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.7884,0.0000,0.0000,1.0370
