"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm","Total,Throughput"
0,1,3,0,0,0,0,0,0,12.0800
0,1,4,0,0,0,0,0,0,14.3300
0,1,5,0,0,0,0,0,0,17.3600
0,1,6,0,0,0,0,0,0,18.4700
0,1,7,0,0,0,0,0,0,22.0900
0,1,0,1,0,0,0,0,0,3.2400
0,1,0,2,0,0,0,0,0,5.3500
0,1,0,3,0,0,0,0,0,7.2800
0,1,0,4,0,0,0,0,0,8.7600
0,1,0,5,0,0,0,0,0,9.8100
0,1,0,6,0,0,0,0,0,11.0500
0,1,0,7,0,0,0,0,0,12.2700
0,1,0,0,1,0,0,0,0,2.3400
0,1,0,0,2,0,0,0,0,3.3200
0,1,0,0,3,0,0,0,0,4.5200
0,1,0,0,4,0,0,0,0,5.1000
0,1,0,0,5,0,0,0,0,5.6100
0,1,0,0,6,0,0,0,0,6.1300
0,1,0,0,7,0,0,0,0,6.6800
0,1,0,0,0,1,0,0,0,2.3900
0,1,0,0,0,2,0,0,0,3.0800
0,1,0,0,0,3,0,0,0,3.0900
0,1,0,0,0,4,0,0,0,1.9400
0,1,0,0,0,5,0,0,0,2.5230
0,1,0,0,0,6,0,0,0,1.6500
0,1,0,0,0,7,0,0,0,1.4300
0,1,0,0,0,0,1,0,0,3.3100
0,1,0,0,0,0,2,0,0,4.0700
0,1,0,0,0,0,3,0,0,4.4000
0,1,0,0,0,0,4,0,0,4.6600
0,1,0,0,0,0,5,0,0,4.7900
0,1,0,0,0,0,6,0,0,4.7100
0,1,0,0,0,0,7,0,0,2.7800
0,1,0,0,0,0,0,1,0,10.7690
0,1,0,0,0,0,0,2,0,21.0990
0,1,0,0,0,0,0,3,0,29.9880
0,1,0,0,0,0,0,4,0,38.9550
0,1,0,0,0,0,0,5,0,50.1970
0,1,0,0,0,0,0,6,0,57.5900
0,1,0,0,0,0,0,7,0,68.6370
0,1,0,0,0,0,0,0,1,6.3920
0,1,0,0,0,0,0,0,2,11.4840
0,1,0,0,0,0,0,0,3,20.2360
0,1,0,0,0,0,0,0,4,22.1800
0,1,0,0,0,0,0,0,5,30.5550
0,1,0,0,0,0,0,0,6,34.2560
0,1,0,0,0,0,0,0,7,40.8550
0,0,1,0,0,0,0,0,0,1.2900
1,0,1,0,0,0,0,0,0,2.4700
2,0,1,0,0,0,0,0,0,3.5830
3,0,1,0,0,0,0,0,0,4.7000
4,0,1,0,0,0,0,0,0,5.4300
5,0,1,0,0,0,0,0,0,6.3500
6,0,1,0,0,0,0,0,0,6.9200
7,0,1,0,0,0,0,0,0,7.3700
