"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm"
0.4188,0.0000,0.0000,0.0000,1.0873,0.0000,0.0000,0.0000,0.0000
1.0855,0.0000,0.0000,0.0000,0.0000,0.9162,0.0000,0.0000,0.0000
0.9658,0.0000,0.0000,0.0000,0.0000,0.7948,0.0000,0.0000,0.0000
0.9145,0.0000,0.0000,0.0000,0.0000,0.7659,0.0000,0.0000,0.0000
0.8632,0.0000,0.0000,0.0000,0.0000,0.7147,0.0000,0.0000,0.0000
0.7949,0.0000,0.0000,0.0000,0.0000,0.6487,0.0000,0.0000,0.0000
0.7009,0.0000,0.0000,0.0000,0.0000,0.6080,0.0000,0.0000,0.0000
0.5897,0.0000,0.0000,0.0000,0.0000,0.6489,0.0000,0.0000,0.0000
1.0513,0.0000,0.0000,0.0000,0.0000,0.0000,0.9386,0.0000,0.0000
1.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.8991,0.0000,0.0000
0.9573,0.0000,0.0000,0.0000,0.0000,0.0000,0.8743,0.0000,0.0000
0.9145,0.0000,0.0000,0.0000,0.0000,0.0000,0.7522,0.0000,0.0000
0.9402,0.0000,0.0000,0.0000,0.0000,0.0000,0.4096,0.0000,0.0000
0.8376,0.0000,0.0000,0.0000,0.0000,0.0000,0.6360,0.0000,0.0000
0.8291,0.0000,0.0000,0.0000,0.0000,0.0000,0.6541,0.0000,0.0000
1.0855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0253,0.0000
1.0598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9825,0.0000
1.0342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9825,0.0000
1.0513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9853,0.0000
1.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9755,0.0000
1.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9826,0.0000
0.9658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9755,0.0000
1.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7495
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9476
0.9744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0965
0.9145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9712
0.8718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9808
0.7863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9623
0.7009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9870
0.9402,0.9914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0556,1.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0057,1.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9786,0.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8615,0.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7892,0.7414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7998,0.8017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0172,2.8527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0345,2.8682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9828,2.8269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8448,2.5872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8707,2.5349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7931,2.2674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8103,2.3422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0862,0.0000,0.9866,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0603,0.0000,0.7752,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0517,0.0000,0.7136,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0086,0.0000,0.9094,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.5047,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9483,0.0000,0.2293,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.3730,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0345,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.0000,1.0259,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.9483,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.7931,0.0000,0.0000,1.0139,0.0000,0.0000,0.0000,0.0000
0.0000,0.6379,0.0000,0.0000,0.9889,0.0000,0.0000,0.0000,0.0000
0.0000,0.5086,0.0000,0.0000,0.9908,0.0000,0.0000,0.0000,0.0000
0.0000,0.3966,0.0000,0.0000,0.9722,0.0000,0.0000,0.0000,0.0000
0.0000,1.0690,0.0000,0.0000,0.0000,0.8516,0.0000,0.0000,0.0000
0.0000,0.9741,0.0000,0.0000,0.0000,0.7960,0.0000,0.0000,0.0000
0.0000,0.9138,0.0000,0.0000,0.0000,0.7551,0.0000,0.0000,0.0000
0.0000,0.8621,0.0000,0.0000,0.0000,0.6777,0.0000,0.0000,0.0000
0.0000,0.8103,0.0000,0.0000,0.0000,0.6399,0.0000,0.0000,0.0000
0.0000,0.7069,0.0000,0.0000,0.0000,0.6268,0.0000,0.0000,0.0000
0.0000,0.6121,0.0000,0.0000,0.0000,0.6527,0.0000,0.0000,0.0000
0.0000,1.0862,0.0000,0.0000,0.0000,0.0000,0.9342,0.0000,0.0000
0.0000,1.0345,0.0000,0.0000,0.0000,0.0000,0.7982,0.0000,0.0000
0.0000,0.9914,0.0000,0.0000,0.0000,0.0000,0.9020,0.0000,0.0000
0.0000,0.9310,0.0000,0.0000,0.0000,0.0000,0.8246,0.0000,0.0000
0.0000,0.8707,0.0000,0.0000,0.0000,0.0000,0.7079,0.0000,0.0000
0.0000,0.8362,0.0000,0.0000,0.0000,0.0000,0.6484,0.0000,0.0000
0.0000,0.8362,0.0000,0.0000,0.0000,0.0000,0.5464,0.0000,0.0000
0.0000,1.0948,0.0000,0.0000,0.0000,0.0000,0.0000,0.9829,0.0000
0.0000,1.0603,0.0000,0.0000,0.0000,0.0000,0.0000,1.0163,0.0000
0.0000,1.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.9833,0.0000
0.0000,1.0603,0.0000,0.0000,0.0000,0.0000,0.0000,0.9836,0.0000
