"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm"
0.0000,1.1600,0.0000,2.0800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2200,0.0000,2.0650,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1300,0.0000,2.0500,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9800,0.0000,1.9450,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8900,0.0000,1.7840,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9800,0.0000,1.6783,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9900,0.0000,1.6114,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2300,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,1.1100,0.0000,0.0000,1.1050,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,0.0000,1.1067,0.0000,0.0000,0.0000,0.0000
0.0000,0.9600,0.0000,0.0000,1.0350,0.0000,0.0000,0.0000,0.0000
0.0000,0.9300,0.0000,0.0000,0.9360,0.0000,0.0000,0.0000,0.0000
0.0000,0.9400,0.0000,0.0000,0.8650,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,0.0000,0.0000,0.8186,0.0000,0.0000,0.0000,0.0000
0.0000,1.1300,0.0000,0.0000,0.0000,1.2600,0.0000,0.0000,0.0000
0.0000,1.1700,0.0000,0.0000,0.0000,0.9550,0.0000,0.0000,0.0000
0.0000,1.1600,0.0000,0.0000,0.0000,0.6433,0.0000,0.0000,0.0000
0.0000,1.2300,0.0000,0.0000,0.0000,0.1775,0.0000,0.0000,0.0000
0.0000,1.0500,0.0000,0.0000,0.0000,0.2946,0.0000,0.0000,0.0000
0.0000,1.2300,0.0000,0.0000,0.0000,0.0700,0.0000,0.0000,0.0000
0.0000,1.0800,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
0.0000,1.2100,0.0000,0.0000,0.0000,0.0000,2.1000,0.0000,0.0000
0.0000,0.8300,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000
0.0000,0.8100,0.0000,0.0000,0.0000,0.0000,1.1967,0.0000,0.0000
0.0000,0.8400,0.0000,0.0000,0.0000,0.0000,0.9550,0.0000,0.0000
0.0000,0.9100,0.0000,0.0000,0.0000,0.0000,0.7760,0.0000,0.0000
0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.6517,0.0000,0.0000
0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.2429,0.0000,0.0000
0.0000,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,9.6290,0.0000
0.0000,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,9.9645,0.0000
0.0000,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,9.5860,0.0000
0.0000,1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,9.4738,0.0000
0.0000,1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,9.8034,0.0000
0.0000,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,9.4083,0.0000
0.0000,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,9.6453,0.0000
0.0000,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1920
0.0000,1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1520
0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3387
0.0000,1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2925
0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9110
0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5293
0.0000,1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6850
0.0000,0.0000,1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,0.0000,1.2030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1367,0.0000,1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0875,0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0540,0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9717,0.0000,1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8971,0.0000,1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1800,3.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1450,3.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1267,3.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1025,2.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9660,2.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9683,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8657,2.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2700,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,2.0450,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.3000,2.0500,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1400,2.0200,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1400,1.8340,0.0000,0.0000,0.0000,0.0000,0.0000
