Redis-1,MMS-1,Checksum,YCSB-A,YCSB-B,Scene-Detect,ISR,Total-Throughput,,
2,0,0,0,1,0,0,0,0,2.6528
3,0,0,0,1,0,0,0,0,3.1079
4,0,0,0,1,0,0,0,0,3.593
5,0,0,0,1,0,0,0,0,4.321
6,0,0,0,1,0,0,0,0,4.6291
7,0,0,0,1,0,0,0,0,4.7026
0,1,0,0,1,0,0,0,0,1.9593
0,2,0,0,1,0,0,0,0,2.8493
0,3,0,0,1,0,0,0,0,3.8657
0,4,0,0,1,0,0,0,0,4.8154
0,5,0,0,1,0,0,0,0,5.7561
0,6,0,0,1,0,0,0,0,6.6402
0,7,0,0,1,0,0,0,0,7.5538
0,0,1,0,1,0,0,0,0,1.9097
0,0,2,0,1,0,0,0,0,2.8143
0,0,3,0,1,0,0,0,0,3.548
0,0,4,0,1,0,0,0,0,4.3777
0,0,5,0,1,0,0,0,0,5.1229
0,0,6,0,1,0,0,0,0,5.6192
0,0,7,0,1,0,0,0,0,6.1839
0,0,0,1,1,0,0,0,0,1.8534
0,0,0,2,1,0,0,0,0,2.4257
0,0,0,3,1,0,0,0,0,3.0483
0,0,0,4,1,0,0,0,0,3.5414
0,0,0,5,1,0,0,0,0,3.9244
0,0,0,6,1,0,0,0,0,4.2418
0,0,0,7,1,0,0,0,0,4.452
0,0,0,0,1,0,0,0,0,1
0,0,0,0,2,0,0,0,0,1.83
0,0,0,0,3,0,0,0,0,2.4852
0,0,0,0,4,0,0,0,0,3.1131
0,0,0,0,5,0,0,0,0,3.8156
0,0,0,0,6,0,0,0,0,4.0494
0,0,0,0,7,0,0,0,0,4.3363
0,0,0,0,8,0,0,0,0,4.5802
0,0,0,0,1,1,0,0,0,1.8876
0,0,0,0,1,2,0,0,0,2.6578
0,0,0,0,1,3,0,0,0,3.3815
0,0,0,0,1,4,0,0,0,4.0872
0,0,0,0,1,5,0,0,0,4.5713
0,0,0,0,1,6,0,0,0,5.0994
0,0,0,0,1,7,0,0,0,5.4467
0,0,0,0,1,0,1,0,0,1.9444
0,0,0,0,1,0,2,0,0,2.9276
0,0,0,0,1,0,3,0,0,3.9285
0,0,0,0,1,0,4,0,0,4.9095
0,0,0,0,1,0,5,0,0,5.9299
0,0,0,0,1,0,6,0,0,6.8924
0,0,0,0,1,0,7,0,0,7.6136
1,0,0,0,0,1,0,0,0,1.9198
2,0,0,0,0,1,0,0,0,2.7101
3,0,0,0,0,1,0,0,0,3.3116
4,0,0,0,0,1,0,0,0,3.8389
5,0,0,0,0,1,0,0,0,4.3961
6,0,0,0,0,1,0,0,0,4.8985
7,0,0,0,0,1,0,0,0,5.2305
0,1,0,0,0,1,0,0,0,1.9463
0,2,0,0,0,1,0,0,0,2.8993
0,3,0,0,0,1,0,0,0,3.9333
0,4,0,0,0,1,0,0,0,4.821
0,5,0,0,0,1,0,0,0,5.7922
0,6,0,0,0,1,0,0,0,6.6912
0,7,0,0,0,1,0,0,0,7.6524
0,0,1,0,0,1,0,0,0,1.947
0,0,2,0,0,1,0,0,0,2.8546
0,0,3,0,0,1,0,0,0,3.6107
0,0,4,0,0,1,0,0,0,4.4614
0,0,5,0,0,1,0,0,0,5.2243
0,0,6,0,0,1,0,0,0,5.7692
0,0,7,0,0,1,0,0,0,6.3114
0,0,0,1,0,1,0,0,0,1.8682
0,0,0,2,0,1,0,0,0,2.5289
0,0,0,3,0,1,0,0,0,3.1321
0,0,0,4,0,1,0,0,0,3.7042
0,0,0,5,0,1,0,0,0,4.0913
0,0,0,6,0,1,0,0,0,4.3815
0,0,0,7,0,1,0,0,0,4.6695
0,0,0,0,1,1,0,0,0,1.8876
0,0,0,0,2,1,0,0,0,2.5904
0,0,0,0,3,1,0,0,0,3.2462
0,0,0,0,4,1,0,0,0,3.9195
0,0,0,0,5,1,0,0,0,4.156
0,0,0,0,6,1,0,0,0,4.5331
0,0,0,0,7,1,0,0,0,4.6698
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,2,0,0,0,1.9269
0,0,0,0,0,3,0,0,0,2.7306
0,0,0,0,0,4,0,0,0,3.5023
0,0,0,0,0,5,0,0,0,4.1872
0,0,0,0,0,6,0,0,0,4.7397
0,0,0,0,0,7,0,0,0,5.105
0,0,0,0,0,8,0,0,0,5.6073
0,0,0,0,0,1,1,0,0,1.9772
0,0,0,0,0,1,2,0,0,3.0039
0,0,0,0,0,1,3,0,0,3.9628
0,0,0,0,0,1,4,0,0,5.1798
0,0,0,0,0,1,5,0,0,5.7991
0,0,0,0,0,1,6,0,0,6.88
0,0,0,0,0,1,7,0,0,7.6484
1,0,0,0,0,0,1,0,0,2.3678
2,0,0,0,0,0,1,0,0,3.3888
3,0,0,0,0,0,1,0,0,3.9687
4,0,0,0,0,0,1,0,0,4.7013
5,0,0,0,0,0,1,0,0,5.2788
6,0,0,0,0,0,1,0,0,5.6244
7,0,0,0,0,0,1,0,0,5.7656
0,1,0,0,0,0,1,0,0,1.9667
